layer,replicate,n_train,n_oob,update_mse,update_r2
0,0,14353,5276,0.011334261856973171,0.8196318745613098
1,0,14353,5276,0.01661383919417858,0.528204619884491
2,0,14353,5276,0.025271132588386536,0.5915114879608154
3,0,14353,5276,0.041153304278850555,0.5864129662513733
4,0,14353,5276,0.02325752191245556,0.6312369704246521
5,0,14353,5276,0.024404561147093773,0.6544782519340515
6,0,14353,5276,0.02629835158586502,0.713481605052948
7,0,14353,5276,0.0332251638174057,0.7671160697937012
8,0,14353,5276,0.043407976627349854,0.7606232762336731
9,0,14353,5276,0.046931058168411255,0.8039829730987549
10,0,14353,5276,0.05995159223675728,0.6934232711791992
11,0,14353,5276,0.1353769153356552,0.6957723498344421
0,1,14353,5305,0.011777810752391815,0.8141527771949768
1,1,14353,5305,0.01685154438018799,0.5233461856842041
2,1,14353,5305,0.025647616013884544,0.5872989296913147
3,1,14353,5305,0.04110877960920334,0.5844566226005554
4,1,14353,5305,0.0234540868550539,0.6282477378845215
5,1,14353,5305,0.02459055744111538,0.6507890820503235
6,1,14353,5305,0.026457926258444786,0.708881676197052
7,1,14353,5305,0.033062130212783813,0.7680416107177734
8,1,14353,5305,0.04323430359363556,0.7614583373069763
9,1,14353,5305,0.04672440513968468,0.8006216883659363
10,1,14353,5305,0.05956047400832176,0.6909669041633606
11,1,14353,5305,0.13396590948104858,0.7018689513206482
0,2,14353,5271,0.011720548383891582,0.8157466053962708
1,2,14353,5271,0.016891196370124817,0.5249716639518738
2,2,14353,5271,0.02561630867421627,0.5910794734954834
3,2,14353,5271,0.04114195331931114,0.5899785757064819
4,2,14353,5271,0.023467587307095528,0.6297435164451599
5,2,14353,5271,0.024483179673552513,0.6553083062171936
6,2,14353,5271,0.026492619886994362,0.7139398455619812
7,2,14353,5271,0.03329354152083397,0.7689616084098816
8,2,14353,5271,0.043262779712677,0.7624050974845886
9,2,14353,5271,0.046920061111450195,0.8043036460876465
10,2,14353,5271,0.05994132161140442,0.6954094767570496
11,2,14353,5271,0.13681302964687347,0.7050766348838806
0,3,14353,5295,0.011550490744411945,0.8184957504272461
1,3,14353,5295,0.016634924337267876,0.5291598439216614
2,3,14353,5295,0.02533738501369953,0.591616153717041
3,3,14353,5295,0.04085567966103554,0.5886704325675964
4,3,14353,5295,0.023266712203621864,0.6311666369438171
5,3,14353,5295,0.024403586983680725,0.655153214931488
6,3,14353,5295,0.02626870572566986,0.7134008407592773
7,3,14353,5295,0.03318249434232712,0.7689687609672546
8,3,14353,5295,0.043314412236213684,0.7630660533905029
9,3,14353,5295,0.046690136194229126,0.8054981827735901
10,3,14353,5295,0.0594923309981823,0.6971266865730286
11,3,14353,5295,0.1345391720533371,0.7075743079185486
0,4,14353,5247,0.011790006421506405,0.8134138584136963
1,4,14353,5247,0.016896694898605347,0.520790159702301
2,4,14353,5247,0.025536447763442993,0.5880991816520691
3,4,14353,5247,0.0412331186234951,0.5840883851051331
4,4,14353,5247,0.02330535463988781,0.6293056607246399
5,4,14353,5247,0.024375999346375465,0.654050350189209
6,4,14353,5247,0.026402540504932404,0.7112310528755188
7,4,14353,5247,0.0333419032394886,0.7684443593025208
8,4,14353,5247,0.043411802500486374,0.7613117098808289
9,4,14353,5247,0.04688237980008125,0.80381178855896
10,4,14353,5247,0.0600234679877758,0.6928598284721375
11,4,14353,5247,0.1354633867740631,0.7064973711967468
0,5,14353,5260,0.01182740181684494,0.8111897110939026
1,5,14353,5260,0.01671622507274151,0.5273351669311523
2,5,14353,5260,0.025464488193392754,0.5923137068748474
3,5,14353,5260,0.040601491928100586,0.5913825631141663
4,5,14353,5260,0.023319795727729797,0.6302460432052612
5,5,14353,5260,0.024407019838690758,0.6545180678367615
6,5,14353,5260,0.026499858126044273,0.7138541340827942
7,5,14353,5260,0.03318687155842781,0.7707066535949707
8,5,14353,5260,0.04329569637775421,0.7624983787536621
9,5,14353,5260,0.04654676839709282,0.8059256672859192
10,5,14353,5260,0.059723079204559326,0.6959607005119324
11,5,14353,5260,0.13301727175712585,0.7054429054260254
0,6,14353,5259,0.01147585827857256,0.8180932998657227
1,6,14353,5259,0.016675880178809166,0.5232856273651123
2,6,14353,5259,0.02553245984017849,0.5878932476043701
3,6,14353,5259,0.041117627173662186,0.5850700736045837
4,6,14353,5259,0.02337932400405407,0.6289291977882385
5,6,14353,5259,0.02443195879459381,0.6533432006835938
6,6,14353,5259,0.02636031247675419,0.7113349437713623
7,6,14353,5259,0.03327930346131325,0.7669828534126282
8,6,14353,5259,0.04324011877179146,0.7619550824165344
9,6,14353,5259,0.04703374579548836,0.8007341027259827
10,6,14353,5259,0.059948503971099854,0.6908791065216064
11,6,14353,5259,0.1372486799955368,0.7036338448524475
0,7,14353,5246,0.011629988439381123,0.8151140213012695
1,7,14353,5246,0.016791971400380135,0.5117265582084656
2,7,14353,5246,0.02550818957388401,0.5801763534545898
3,7,14353,5246,0.04099075868725777,0.578586757183075
4,7,14353,5246,0.02331928350031376,0.6268811225891113
5,7,14353,5246,0.0245084036141634,0.6517598628997803
6,7,14353,5246,0.026501117274165154,0.7074785232543945
7,7,14353,5246,0.033337924629449844,0.7649798393249512
8,7,14353,5246,0.04373340308666229,0.7596935629844666
9,7,14353,5246,0.04721994325518608,0.8023386001586914
10,7,14353,5246,0.060262471437454224,0.6906260848045349
