layer,fold,n_train,n_test,update_mse,update_r2,next_state_mse,coef_fro_norm,intercept_l2_norm
0,0,11482,2871,0.01047481968998909,0.8340628743171692,0.01047481968998909,287.6377258300781,4.611856937408447
1,0,11482,2871,0.01529748272150755,0.5647306442260742,0.01529748272150755,26.854904174804688,6.676065444946289
2,0,11482,2871,0.023828640580177307,0.6165416836738586,0.023828640580177307,20.675403594970703,6.134496212005615
3,0,11482,2871,0.03864652290940285,0.6089411973953247,0.03864651918411255,21.219402313232422,7.639716625213623
4,0,11482,2871,0.02184123359620571,0.6509982943534851,0.02184123359620571,15.443333625793457,5.078064441680908
5,0,11482,2871,0.02303580939769745,0.671660840511322,0.02303580939769745,16.114948272705078,6.541845321655273
6,0,11482,2871,0.024933911859989166,0.7239241600036621,0.024933911859989166,16.364315032958984,5.7771897315979
7,0,11482,2871,0.03137466683983803,0.7783251404762268,0.03137466311454773,17.82602882385254,7.808165550231934
8,0,11482,2871,0.041478004306554794,0.7711424827575684,0.041478004306554794,18.58313751220703,7.399217128753662
9,0,11482,2871,0.044348251074552536,0.8155582547187805,0.044348251074552536,18.79230499267578,8.938231468200684
10,0,11482,2871,0.05702248215675354,0.7094599604606628,0.05702248215675354,16.007930755615234,9.431083679199219
11,0,11482,2871,0.1289992332458496,0.7183502316474915,0.1289992332458496,27.148571014404297,238.3572235107422
0,1,11482,2871,0.010754755698144436,0.8299325108528137,0.010754755698144436,288.880126953125,4.5460286140441895
1,1,11482,2871,0.01583523489534855,0.5469499230384827,0.01583523489534855,26.99407386779785,6.523653507232666
2,1,11482,2871,0.02430850826203823,0.6046861410140991,0.02430850826203823,20.85239601135254,6.219435691833496
3,1,11482,2871,0.039415404200553894,0.5993639826774597,0.039415404200553894,21.259403228759766,7.871511459350586
4,1,11482,2871,0.02255394123494625,0.6419296860694885,0.0225539430975914,15.456086158752441,5.004794120788574
5,1,11482,2871,0.02361438423395157,0.664997398853302,0.02361438423395157,16.147546768188477,6.281862735748291
6,1,11482,2871,0.02555110491812229,0.7213318943977356,0.02555110491812229,16.365419387817383,5.693258762359619
7,1,11482,2871,0.03221968933939934,0.774573564529419,0.03221968933939934,17.840755462646484,7.62136173248291
8,1,11482,2871,0.04172869026660919,0.7733197212219238,0.04172868654131889,18.62807273864746,7.746066570281982
9,1,11482,2871,0.045500535517930984,0.8090848922729492,0.045500535517930984,18.860973358154297,9.274248123168945
10,1,11482,2871,0.05812781676650047,0.7046852707862854,0.05812781676650047,16.076984405517578,9.817758560180664
11,1,11482,2871,0.13412538170814514,0.722569465637207,0.13412538170814514,27.21449851989746,238.81314086914062
0,2,11482,2871,0.010883358307182789,0.8300888538360596,0.010883358307182789,290.5737609863281,4.450875759124756
1,2,11482,2871,0.01591912843286991,0.5533664226531982,0.01591912843286991,27.005268096923828,7.6329240798950195
2,2,11482,2871,0.02430453896522522,0.6107926964759827,0.02430453896522522,20.80743980407715,6.099485874176025
3,2,11482,2871,0.03908529505133629,0.6072617173194885,0.03908529505133629,21.253700256347656,7.697747230529785
4,2,11482,2871,0.02225656993687153,0.64749675989151,0.02225656993687153,15.450531959533691,5.037424087524414
5,2,11482,2871,0.02343754656612873,0.6690033078193665,0.02343754656612873,16.12210464477539,6.590611457824707
6,2,11482,2871,0.02525310032069683,0.729357898235321,0.02525310032069683,16.354808807373047,5.580172538757324
7,2,11482,2871,0.03171025589108467,0.7832949757575989,0.03171025589108467,17.806514739990234,7.884821891784668
8,2,11482,2871,0.041239604353904724,0.770228385925293,0.041239604353904724,18.637245178222656,7.8214263916015625
9,2,11482,2871,0.04466788470745087,0.8102772831916809,0.04466788098216057,18.812637329101562,8.925363540649414
10,2,11482,2871,0.056987468153238297,0.704888641834259,0.056987468153238297,16.054126739501953,9.603026390075684
11,2,11482,2871,0.12487765401601791,0.7121548056602478,0.12487765401601791,27.44780921936035,240.2228546142578
0,3,11483,2870,0.010820173658430576,0.8282505869865417,0.010820173658430576,289.3354187011719,4.56906270980835
1,3,11483,2870,0.015768634155392647,0.5436931848526001,0.015768634155392647,27.23640251159668,6.829016208648682
2,3,11483,2870,0.024654647335410118,0.5990056395530701,0.024654647335410118,20.79353904724121,6.0630106925964355
3,3,11483,2870,0.03984871134161949,0.5953910946846008,0.03984871134161949,21.277732849121094,7.709699630737305
4,3,11483,2870,0.02275998145341873,0.6395360827445984,0.02275998145341873,15.464308738708496,5.009472370147705
5,3,11483,2870,0.023766489699482918,0.6640265583992004,0.023766489699482918,16.133087158203125,6.642493724822998
6,3,11483,2870,0.025779088959097862,0.7174749374389648,0.025779088959097862,16.376195907592773,5.815922737121582
7,3,11483,2870,0.03235696256160736,0.7737558484077454,0.03235696256160736,17.8446102142334,7.845723628997803
8,3,11483,2870,0.04202032461762428,0.7692963480949402,0.04202032461762428,18.628089904785156,7.792643070220947
9,3,11483,2870,0.0456865020096302,0.8082863688468933,0.0456865020096302,18.844505310058594,8.730960845947266
10,3,11483,2870,0.05881369113922119,0.6987126469612122,0.05881369113922119,16.060903549194336,9.747692108154297
11,3,11483,2870,0.13265292346477509,0.7201822400093079,0.13265292346477509,27.14109992980957,238.49057006835938
0,4,11483,2870,0.010457146912813187,0.8355668187141418,0.010457146912813187,289.0135803222656,4.509624481201172
1,4,11483,2870,0.015480815432965755,0.5579736828804016,0.015480815432965755,26.9117488861084,6.784027099609375
2,4,11483,2870,0.024069832637906075,0.610995352268219,0.024069832637906075,20.774877548217773,6.115895748138428
3,4,11483,2870,0.039094481617212296,0.605861485004425,0.039094481617212296,21.22005271911621,7.756144046783447
4,4,11483,2870,0.022084757685661316,0.6476202607154846,0.022084757685661316,15.461798667907715,5.010738849639893
5,4,11483,2870,0.02332439459860325,0.6697447896003723,0.02332439459860325,16.12272834777832,6.850400924682617
6,4,11483,2870,0.025115331634879112,0.724052906036377,0.025115331634879112,16.365825653076172,5.8888115882873535
7,4,11483,2870,0.03180237114429474,0.7764207720756531,0.03180237114429474,17.82305145263672,8.179084777832031
8,4,11483,2870,0.04139167442917824,0.7711601853370667,0.04139167442917824,18.63998031616211,8.167695999145508
9,4,11483,2870,0.044797759503126144,0.8116913437843323,0.044797759503126144,18.834182739257812,8.886518478393555
10,4,11483,2870,0.05684785544872284,0.7077980637550354,0.05684785172343254,16.04696273803711,9.501333236694336
11,4,11483,2870,0.13065104186534882,0.7055244445800781,0.13065104186534882,27.351865768432617,240.03697204589844
