layer,replicate,n_train,n_oob,update_mse,update_r2
0,0,14353,5276,0.017292223870754242,0.7695973515510559
1,0,14353,5276,0.02247457206249237,0.33357933163642883
2,0,14353,5276,0.03634226322174072,0.43486571311950684
3,0,14353,5276,0.06380357593297958,0.5226340293884277
4,0,14353,5276,0.03204352781176567,0.5167996883392334
5,0,14353,5276,0.030781105160713196,0.5844162106513977
6,0,14353,5276,0.03198014199733734,0.6265043616294861
7,0,14353,5276,0.03994882479310036,0.6791922450065613
8,0,14353,5276,0.04732416197657585,0.6757375597953796
9,0,14353,5276,0.06062822416424751,0.6748132705688477
10,0,14353,5276,0.0817791149020195,0.57970130443573
11,0,14353,5276,0.4201339781284332,0.5468966960906982
0,1,14353,5305,0.017619168385863304,0.7679443359375
1,1,14353,5305,0.02288813889026642,0.3414839506149292
2,1,14353,5305,0.03682802990078926,0.436708003282547
3,1,14353,5305,0.06259807199239731,0.5201805233955383
4,1,14353,5305,0.03228968009352684,0.5167794823646545
5,1,14353,5305,0.030523056164383888,0.5863057971000671
6,1,14353,5305,0.031873222440481186,0.6261270642280579
7,1,14353,5305,0.039527397602796555,0.6779585480690002
8,1,14353,5305,0.0472479946911335,0.6683802604675293
9,1,14353,5305,0.060520898550748825,0.6719977855682373
10,1,14353,5305,0.08129473775625229,0.5798999667167664
11,1,14353,5305,0.4233245849609375,0.5603508949279785
0,2,14353,5271,0.017414527013897896,0.7691827416419983
1,2,14353,5271,0.02241208218038082,0.34507957100868225
2,2,14353,5271,0.03637704253196716,0.4459402561187744
3,2,14353,5271,0.06378445774316788,0.5359116196632385
4,2,14353,5271,0.03210871294140816,0.518371045589447
5,2,14353,5271,0.03043607622385025,0.5872410535812378
6,2,14353,5271,0.03182150050997734,0.6267935633659363
7,2,14353,5271,0.03940856084227562,0.6785659193992615
8,2,14353,5271,0.046705231070518494,0.6722881197929382
9,2,14353,5271,0.05983583256602287,0.6740257143974304
10,2,14353,5271,0.08068186789751053,0.5821045637130737
11,2,14353,5271,0.4104691743850708,0.5587310194969177
0,3,14353,5295,0.01745492033660412,0.7689539790153503
1,3,14353,5295,0.022936997935175896,0.3415951728820801
2,3,14353,5295,0.036418844014406204,0.44194984436035156
3,3,14353,5295,0.06678295135498047,0.5211573243141174
4,3,14353,5295,0.03206120803952217,0.5162957310676575
5,3,14353,5295,0.030573761090636253,0.5869904160499573
6,3,14353,5295,0.03175419941544533,0.6263729929924011
7,3,14353,5295,0.039834149181842804,0.6801185607910156
8,3,14353,5295,0.04703298211097717,0.6708210110664368
9,3,14353,5295,0.06023666262626648,0.6728182435035706
10,3,14353,5295,0.0812065377831459,0.5799199938774109
11,3,14353,5295,0.4321277141571045,0.5618200302124023
0,4,14353,5247,0.017519749701023102,0.7683975100517273
1,4,14353,5247,0.022462328895926476,0.34835365414619446
2,4,14353,5247,0.036429714411497116,0.44592270255088806
3,4,14353,5247,0.06268209964036942,0.5285766124725342
4,4,14353,5247,0.03192849084734917,0.5212053656578064
5,4,14353,5247,0.030361486598849297,0.5891633629798889
6,4,14353,5247,0.03178105130791664,0.627029299736023
7,4,14353,5247,0.03957303240895271,0.679537296295166
8,4,14353,5247,0.04700133576989174,0.6721951365470886
9,4,14353,5247,0.05989686772227287,0.6745350956916809
10,4,14353,5247,0.08039643615484238,0.5817742943763733
11,4,14353,5247,0.4151371717453003,0.5608273148536682
0,5,14353,5260,0.017480140551924706,0.7674539685249329
1,5,14353,5260,0.022453032433986664,0.34405282139778137
2,5,14353,5260,0.0362691767513752,0.4440678656101227
3,5,14353,5260,0.06270343065261841,0.5291125774383545
4,5,14353,5260,0.03205959498882294,0.5175715088844299
5,5,14353,5260,0.030743882060050964,0.5855929851531982
6,5,14353,5260,0.03172783553600311,0.6259041428565979
7,5,14353,5260,0.03970525786280632,0.6795938611030579
8,5,14353,5260,0.04728442430496216,0.6722807884216309
9,5,14353,5260,0.06051197648048401,0.6723666787147522
10,5,14353,5260,0.08178027719259262,0.580914318561554
11,5,14353,5260,0.4358082711696625,0.5735539793968201
0,6,14353,5259,0.01759778894484043,0.7691728472709656
1,6,14353,5259,0.022578448057174683,0.34643983840942383
