layer,fold,n_train,n_test,update_mse,update_r2,next_state_mse,coef_fro_norm,intercept_l2_norm
0,0,11482,2871,0.016622884199023247,0.7810544967651367,0.016622884199023247,263.550048828125,4.377828598022461
1,0,11482,2871,0.022270530462265015,0.3863297998905182,0.022270530462265015,18.629199981689453,4.802048683166504
2,0,11482,2871,0.03486098349094391,0.48389530181884766,0.03486098721623421,17.25436019897461,6.21699333190918
3,0,11482,2871,0.06309034675359726,0.5612501502037048,0.06309034675359726,22.685014724731445,9.682363510131836
4,0,11482,2871,0.030369862914085388,0.5411129593849182,0.030369862914085388,13.55560302734375,4.317986011505127
5,0,11482,2871,0.02920401655137539,0.6044489145278931,0.02920401655137539,14.095426559448242,5.5696001052856445
6,0,11482,2871,0.03054211102426052,0.6410984992980957,0.03054211102426052,13.910888671875,4.889848232269287
7,0,11482,2871,0.0380246601998806,0.6884820461273193,0.0380246601998806,15.149369239807129,6.235274791717529
8,0,11482,2871,0.045010000467300415,0.6833918690681458,0.045010000467300415,15.451971054077148,7.38775634765625
9,0,11482,2871,0.057951126247644424,0.6832914352416992,0.05795113369822502,16.490354537963867,8.135208129882812
10,0,11482,2871,0.07799436897039413,0.598341166973114,0.07799436897039413,15.153368949890137,7.704563140869141
11,0,11482,2871,0.4221271574497223,0.5802454352378845,0.42212724685668945,35.90657043457031,237.72328186035156
0,1,11482,2871,0.01608920283615589,0.7841307520866394,0.01608920283615589,263.7420654296875,4.392598628997803
1,1,11482,2871,0.021496159955859184,0.39169275760650635,0.021496159955859184,18.680513381958008,4.829290390014648
2,1,11482,2871,0.034172046929597855,0.4849880635738373,0.034172046929597855,17.269214630126953,6.640670299530029
3,1,11482,2871,0.06174526736140251,0.5614944100379944,0.06174526736140251,22.715641021728516,10.056427955627441
4,1,11482,2871,0.03034103848040104,0.543422281742096,0.03034103848040104,13.52649974822998,4.328116416931152
5,1,11482,2871,0.02962540090084076,0.6028932929039001,0.02962540090084076,14.075955390930176,5.40609884262085
6,1,11482,2871,0.030236834660172462,0.6450605988502502,0.030236834660172462,13.892349243164062,4.855965614318848
7,1,11482,2871,0.03758727386593819,0.6946908831596375,0.03758727386593819,15.10897159576416,5.955952167510986
8,1,11482,2871,0.045139458030462265,0.6892092227935791,0.045139458030462265,15.43995189666748,7.151417255401611
9,1,11482,2871,0.0572587288916111,0.6887677311897278,0.057258736342191696,16.461271286010742,8.194208145141602
10,1,11482,2871,0.07725409418344498,0.6028428673744202,0.07725409418344498,15.097644805908203,7.522091388702393
11,1,11482,2871,0.39014875888824463,0.5694776177406311,0.39014875888824463,36.15845489501953,237.95614624023438
0,2,11482,2871,0.01697150431573391,0.7807289958000183,0.01697150431573391,263.5323181152344,4.383267879486084
1,2,11482,2871,0.021775461733341217,0.37360668182373047,0.021775461733341217,19.195905685424805,4.726895809173584
2,2,11482,2871,0.03483244776725769,0.4810773432254791,0.03483244776725769,17.321683883666992,6.972339153289795
3,2,11482,2871,0.06242203712463379,0.5671984553337097,0.06242203712463379,22.80070686340332,10.23482608795166
4,2,11482,2871,0.03111015260219574,0.5377764701843262,0.03111015260219574,13.554533958435059,4.363914966583252
5,2,11482,2871,0.029526175931096077,0.6038272976875305,0.029526175931096077,14.141538619995117,5.5059614181518555
6,2,11482,2871,0.03046061284840107,0.643142580986023,0.03046061284840107,13.92552661895752,4.8408379554748535
7,2,11482,2871,0.03800969943404198,0.6903831362724304,0.03800969943404198,15.152799606323242,5.78471565246582
8,2,11482,2871,0.045436639338731766,0.6875173449516296,0.045436639338731766,15.421124458312988,6.609451770782471
